List0,List1,List2,List3,List4,List5,List6,List7,List8,List9,List10,List11
74:car,7:car,57:car,33:car,15:car,16:car,10:car,689:car,669:car,97:car,739:car,
269:car,860:car,14:car,697:car,696:car,19:car,41:car,754:car,756:car,765:car,759:car,
437:car,861:car,704:car,685:car,703:car,32:car,90:car,771:car,775:car,803:car,819:car,
1724:car,996:car,698:car,713:car,727:car,36:car,117:car,794:car,801:car,824:car,1001:car,
1790:car,1684:car,735:car,734:car,745:car,99:car,138:car,820:car,821:car,824:large bus,1072:car,
,,762:car,782:car,780:car,79:car,161:car,844:car,838:car,846:car,,
,,806:car,813:car,798:car,120:car,204:car,871:car,872:car,867:car,,
,,831:car,839:car,943:truck,166:car,247:car,890:car,893:car,886:car,,
,,865:car,864:car,1023:car,182:car,353:car,908:car,924:car,918:car,,
,,909:car,868:car,1228:car,210:car,573:car,926:car,936:car,1029:car,,
,,968:car,900:car,1232:car,231:car,678:car,938:car,988:car,1119:car,,
,,976:car,910:car,1256:car,241:car,1087:car,962:car,1012:car,1270:truck,,
,,991:car,955:car,1309:car,252:car,1121:car,994:car,1035:car,1346:car,,
,,1025:car,995:car,1367:car,282:car,1130:car,1017:car,1043:car,1383:car,,
,,1039:car,1252:car,1478:car,309:car,1144:car,1033:motorcycle,1060:car,1430:car,,
,,1260:car,1229:car,1498:car,326:car,1157:car,1044:car,1104:car,1482:car,,
,,1280:car,1235:car,,314:car,1167:car,1064:car,1221:car,1509:car,,
,,1391:car,1298:car,,690:car,1184:motorcycle,1224:car,1297:car,1516:large bus,,
,,1483:car,1368:car,,680:car,1192:car,1279:car,1326:car,1544:car,,
,,1600:car,1464:car,,708:car,1223:car,1313:truck,1372:car,,,
,,1792:car,1612:truck,,712:car,1261:car,1340:car,1400:car,,,
,,1804:car,,,715:car,1614:car,1363:car,1433:car,,,
,,1869:car,,,1132:car,1649:car,1413:motorcycle,1487:car,,,
,,,,,1166:car,1681:truck,1422:car,1514:car,,,
,,,,,1161:car,1681:car,1461:truck,,,,
,,,,,1268:car,1701:car,1480:car,,,,
,,,,,1304:car,1738:motorcycle,1503:car,,,,
,,,,,1328:car,1733:car,1533:car,,,,
,,,,,1255:car,1755:car,,,,,
,,,,,1253:car,1778:car,,,,,
,,,,,1248:car,1808:car,,,,,
,,,,,1621:car,1825:car,,,,,
,,,,,1647:car,1845:car,,,,,
,,,,,1688:car,,,,,,
,,,,,1697:car,,,,,,
,,,,,1731:car,,,,,,
,,,,,1753:car,,,,,,
,,,,,1775:car,,,,,,
,,,,,1799:car,,,,,,
,,,,,1815:car,,,,,,
,,,,,1832:car,,,,,,
